prolific_id,age,gender,dominant_1,dominant_3,dominant_3,L1,L2,L3,education,german_subregion,other_languages,L1_aoo,L1_aoa,german_speaking_level,german_perception_level,english_aoo,english_aoa,time_abroad_english,english_speaking_level,english_comprehension,spanish_aoo,spanish_aoa,time_abroad_spanish,spanish_speaking_level,spanish_comprehension_level
60411127dba45b0008bf6bc4,31,Female,German,English,Spanish,German,English,Spanish,Masters,Baden-Württemberg (Konstanz),"Romanian (~B2) & Dutch (~A2), learned in Romania & The Netherlands while living there (Romania: 2 years, The Netherlands: 1,5 years)",0,0,10 - perfect,10 - perfect,6,14,2 months,7 - good,7 - good,14,18,"1,5 years",5 - adequate,7 - good
613914cbb1f633800a5b53d1,53,Female,German,English,Spanish,German,English,Spanish,Professional Training,Hessen,"French, learnt at school, speaking frequently several times a year and reading several times a month.",0,6,10 - perfect,10 - perfect,10,25,1 month,8 - very good,8 - very good,19,--,0,5 - adequate,5 - adequate
63eaa34e4d5bdf6b859a1149,40,Male,German,English,Spanish,German,English,Spanish,College,Western Germany,"French, school from grade 7 to 10 ",0,6,10 - perfect,10 - perfect,10,18,2 months,8 - very good,8 - very good,12,,1 month,4 - slightly less than adequate,4 - slightly less than adequate
5a06ebf2c259f300017656ee,27,Male,German,English,Spanish,German,English,Spanish,Some Graduate School,lower saxony,"french, school",0,3,10 - perfect,10 - perfect,7,15,0,7 - good,9 - excellent,14,-,0,1 - very low,2 - low
627bfd52e3e0bfd01cd0cad5,26,Female,German,English ,Spanish,German ,English,Spanish,Ph.D./M.D./J.D.,Bavaria,"French (started in elementary school, currently level B1) 
Swedish (took one course in university, only know a few words)",0,2,10 - perfect,10 - perfect,4,15,0,9 - excellent,9 - excellent,15,ongoing,0,3 - fair,4 - slightly less than adequate
6362ae39a567fd42662f5f38,24,Female,German,English,Spanish,Spanish,English,Spanish,High School,"Hessen, Frankfurt","French, I learned it in school ",0,5,10 - perfect,10 - perfect,8,14,1 month,8 - very good,8 - very good,8,15,"2,5 years",8 - very good,9 - excellent
677fb6d0512e28a81c78000c,29,Male,German,English,Spanish,German,English,Spanish,Ph.D./M.D./J.D.,Baden-Württemberg,"I learned French from 6th to 12th grade in High School and did my Abitur in this subject as well (14 out of 15 points). However, I cannot really speak French. And I haven't practiced it since 2013.",0,0,10 - perfect,10 - perfect,8,18,4 months,8 - very good,8 - very good,13,-,0,1 - very low,2 - low
638525c55b36d64ccc7dab69,22,Female,German,Englisch ,Spanisch ,German ,English ,Spanish ,College,Baden Württemberg ,French ,0,3,10 - perfect,10 - perfect,6,15,0,8 - very good,8 - very good,13,18,0,5 - adequate,5 - adequate
5b8eab705206680001da3583,31,Male,German,English,Spanish,German,English,Spanish,Masters,Bavaria,"just a bit of italian i picked up while doing duolingo for about a year.
and some french, which ive had 5 years in school",0,3,10 - perfect,10 - perfect,8,13,0,9 - excellent,9 - excellent,16,0,0/1,5 - adequate,6 - slightly more than adequate
63b6d9699be848b207be253d,23,Female,German,English,Spanish,German,English,Spanish,High School,middle part ,"Korean, studied in university; Japanese, studied in university; Italian, studied by textbook ",1,2,10 - perfect,10 - perfect,6,17,0,9 - excellent,9 - excellent,14,20,0,7 - good,8 - very good
5ee7fbc114d0a60f9b076fb6,47,Male,German,English,Spanish,German,English,Spanish,Masters,"Stuttgart, Baden-Württemberg",French - learned at school 12-16 years,0,9,10 - perfect,10 - perfect,9,20,0,9 - excellent,9 - excellent,16,-,0,1 - very low,2 - low
5daed081ff30f700156bc732,38,Male,German,English,Spanish,German,English,Spanish,Professional Training,"Schleswig-Holstein, Baltic Sea","Yes. Swedish, Norwegian and Danish. I started learning Swedish 12 years ago and have become fluent in it as I'm a very regular traveler and visitor. Norwegian and Danish somehow came along over the years as they are quite similar. I have also learned some Arabic (about a A2) and Russian (about B1). Also I learned French in school though I haven't used it much since and have probably dropped from a B2 to a B1 or sth.",0,6,10 - perfect,10 - perfect,6,16,6 months,9 - excellent,9 - excellent,35,,0,2 - low,2 - low
60fd0232c3f0f1a0f44ca3fb,23,Female,German,English,Spanish,German,English,Spanish,Some College,"North Rhine Westphalia, close to the Dutch border",I have learned Latin all throughout middle and high school and I have learned French for two years in middle school but can't remember much of it,0,0,10 - perfect,10 - perfect,9,15,1 year 3 months,9 - excellent,9 - excellent,15,not fluent,none,4 - slightly less than adequate,5 - adequate
5e80a5089fb3bb778bb71509,28,Male,German,English,Spanish,German,English,Spanish,Masters,Brandenburg,"Japanese. Learned it for fun. Unable to really speak much, but rather good at understanding slow(!) speech. Learned it online via immersion technique, didnt follow any curriculum.",0,4,10 - perfect,10 - perfect,11,16,0,9 - excellent,9 - excellent,24,not fluent,0,1 - very low,2 - low
5e6d2835e0de62000922c8c2,49,Female,German,English,Spanish,German,English,Spanish,College,"Born in the South, living in the North","French, sorta decent, learned it in school for three years, and also have French  relatives.
Italian, basic, like spanish. Learned it mostly from opera and using my Latin skills.",0,3,10 - perfect,10 - perfect,10,18,"roughly about seven or eight  months, but not in one go",9 - excellent,9 - excellent,23,not yet,"maybe six weeks, several trips to Spain, one to Argentina",3 - fair,3 - fair
6789000b08f2703ba0b959b1,32,Male,German ,English ,Spanish ,German ,English ,Spanish ,College,Hanau West Germany near Frankfurt ,I speak also Turkish ,,4,9 - excellent,10 - perfect,14,19,2,7 - good,8 - very good,29,31,6 months ,5 - adequate,5 - adequate
 60fec9a2707c2c28ac3af316,24,Female,German,English,Spanish,German,English,Spanish,"High School,Some College",Bayern,no,0,6,10 - perfect,10 - perfect,9,15,0,9 - excellent,9 - excellent,13,,0,3 - fair,3 - fair
63fbb39dc18cf8a21c6a9bfe,25,Male,German,English,Spanish,German,Englisch,Spanish,Some College,Bavaria,a bit of russian from my parents,0,8,10 - perfect,10 - perfect,11,16,4 months,9 - excellent,10 - perfect,19,25,1/2 month,2 - low,1 - very low
63206e5a3c9c07646ab937e7,27,Male,German,English,Spanish,German,English,Spanish,Masters,Hessen,French in high school,0,4,10 - perfect,10 - perfect,6,17,0,7 - good,7 - good,15,,0,2 - low,1 - very low
627e7906b82dabdbe672cdd1,69,Male,German,English,Spanish,German,English ,Spanish,Ph.D./M.D./J.D.,Hessen,"Danish, at a university, as hobby",1,7,9 - excellent,9 - excellent,11,18,1 month,8 - very good,8 - very good,58,,0,4 - slightly less than adequate,4 - slightly less than adequate
5c39afacf179bd0001c8756a,25,Female,German,English,Spanish,German ,English,Spanish,Professional Training,Berlin,"Tiny bit of French, had it in school for two years",native/birth,-,10 - perfect,9 - excellent,8,20,1 year approx,8 - very good,8 - very good,16,24,1 year approx,6 - slightly more than adequate,6 - slightly more than adequate
627bbf61f416d87703e62ba5,29,Female,German,English,Spanish,German,English,Spanish,Masters,Saarland,"French (learned in school as a second language)
German sign language (3 semester course at university)",0,3,10 - perfect,10 - perfect,9,16,2 weeks,9 - excellent,9 - excellent,16,20,2 months,7 - good,7 - good
5e73ee33183e7602ef20afe6,24,Other,German,English,Spanish,German,English,Spanish,High School,Hamburg,,0,5,10 - perfect,10 - perfect,9,19,0,5 - adequate,10 - perfect,21,24,0,2 - low,7 - good
6317567a5db58c2c330a5497,24,Female,German,English,Spanish,German ,English,Spanish,Some Graduate School,Saarland,"French (for 4 years in school then in University for 2), Latin (for 3 years in school with a final proficiency test, we call it Latinum)",0,6,10 - perfect,10 - perfect,10,16,3 months,9 - excellent,9 - excellent,18,20,0,6 - slightly more than adequate,6 - slightly more than adequate
603f47e39649cf0339527014,47,Female,German,English,Spanish,German,English,Spanish,Some Graduate School,Saxony,"Russian,learned in school",1,2,10 - perfect,10 - perfect,10,12,2014-2016,8 - very good,10 - perfect,32,35,-,3 - fair,5 - adequate
